dirL,dirR,vL,vR,szL,szR,sfL,sfR,BvL,BvR,BsfL,BsfR,thL,thR,colDirL,colDirR,centTask,stabQn,fixCross,fovGap,fovFade,periGap,periFade,annuR,annuWidth,trialT,trialN
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1,4
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1.5,4
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2,4
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2.5,4
0,180,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,3,4
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1,4
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1.5,4
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2,4
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2.5,4
180,0,1.2,9.6,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,3,4
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1,4
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1.5,4
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2,4
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2.5,4
0,180,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,3,4
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1,4
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,1.5,4
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2,4
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,2.5,4
180,0,9.6,1.2,256,256,0.1,0.1,0.5,0.5,0.05,0.05,0,0,0,0,1,0,0,0,2,96,32,0,0,3,4
